FileBackUp;/GFOOT/10_日次/01_HULFT/集信_04_AEON_時間帯別売上/;pjob;正常終了;****/**/** **:**;0;2026/06/26 11:40:08;****/**/** **:**:**;2026/06/26 11:40:08;TYCLDS31;225146;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12eed\b70a1\0.12ef2.err;なし;@2W9729;****/**/**;2026/06/26 11:40:08;"";****/**/** **:**;****/**/** **:**
File監視エラー;/GFOOT/10_日次/01_HULFT/集信_04_AEON_時間帯別売上/;rpjob;未実行終了;****/**/** **:**;0;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;0;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12eed\b70a1\0.12ef6.err;なし;@2W9729;****/**/**;****/**/** **:**:**;"エラーメール送信";****/**/** **:**;****/**/** **:**
ファイル監視;/GFOOT/10_日次/01_HULFT/集信_04_AEON_時間帯別売上/;flwjb;正常終了;****/**/** **:**;0;2026/06/26 11:40:00;****/**/** **:**:**;2026/06/26 11:40:01;TYCLDS31;0;20260626003;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12eed\b70a1\0.12ef8.err;なし;@2W9729;****/**/**;2026/06/26 11:40:00;"\ANTIME.datファイル監視";****/**/** **:**;****/**/** **:**
集信_05_共通POS_POS売上_NLOG;/GFOOT/10_日次/01_HULFT/;net;実行中;2025/04/26 18:40;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;***;なし;@2W9744;2026/06/26;2026/06/26 12:00:00;"毎時_00:00~24:00 【00分受信】EAS2E014.txt";****/**/** **:**;****/**/** **:**
DataLoad;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12efa.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"TW_NLOGにデータをロードする";****/**/** **:**;****/**/** **:**
FileBackUp;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12efd.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"";****/**/** **:**;****/**/** **:**
File監視エラー;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;rpjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f04.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"エラーメール送信";****/**/** **:**;****/**/** **:**
NLOG_GFOOTID付与;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f05.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"INS_TT_NLOG実行";****/**/** **:**;****/**/** **:**
NLOG_取込_エラーチェック;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f0a.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"NLOG_取込_エラーチェック";****/**/** **:**;****/**/** **:**
NLOGデータバックアップ;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f0e.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"受信直後にファイルをコピー";****/**/** **:**;****/**/** **:**
NLOG取引明細;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f0f.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"TT_NLOGへの書込";****/**/** **:**;****/**/** **:**
NLOG取引明細_TRY;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;rpjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f10.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"TT_NLOGへの書込";****/**/** **:**;****/**/** **:**
NLOG取込完了イベント_送_706;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;evsjb;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f11.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"7FFFA706";****/**/** **:**;****/**/** **:**
NLOG取込処理_新;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.14beb.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"GFDWH_TESTで実行中 COM_CALL_SP_v2.bat 2026.01.25中止";****/**/** **:**;****/**/** **:**
ファイル監視;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;flwjb;実行中;****/**/** **:**;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;TYCLDS31;0;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.12f15.err;なし;@2W9744;****/**/**;2026/06/26 12:00:00;"EAS2E014.txtのファイル監視";****/**/** **:**;****/**/** **:**
登録結果確認;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626013;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\12ef9\b70b0\0.14bfa.err;なし;@2W9744;****/**/**;****/**/** **:**:**;"GFDWH_TESTで実行中 COM_CALL_SP_v2.bat";****/**/** **:**;****/**/** **:**
集信_05_共通POS_POS売上_NLOG_T;/GFOOT/10_日次/01_HULFT/;net;正常終了;2023/08/14 17:31;***;2023/08/14 17:31:37;****/**/** **:**:**;2023/08/14 17:32:16;***;***;20230814001;***;なし;@M4287;2023/08/14;2023/08/14 17:31:37;"";****/**/** **:**;****/**/** **:**
Copy;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG_T/;pjob;正常終了;****/**/** **:**;0;2023/08/14 17:32:13;****/**/** **:**:**;2023/08/14 17:32:16;TYCLDS31;207952;20230814001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14b6e\1e57f\0.14b70.err;なし;@M4287;****/**/**;2023/08/14 17:32:13;"GFDWH.TW_NLOG_JP --> GFDWH_TEST.TW_NLOG_JP";****/**/** **:**;****/**/** **:**
NLOG取引明細;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG_T/;pjob;正常終了;****/**/** **:**;0;2023/08/14 17:32:16;****/**/** **:**:**;2023/08/14 17:32:16;TYCLDS31;207953;20230814001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14b6e\1e57f\0.14b71.err;なし;@M4287;****/**/**;2023/08/14 17:32:16;"COM_CALL_SP_v2.bat";****/**/** **:**;****/**/** **:**
NLOG取込完了イベント_送_706;/GFOOT/10_日次/01_HULFT/集信_05_共通POS_POS売上_NLOG_T/;evwjb;正常終了;****/**/** **:**;0;2023/08/14 17:31:37;****/**/** **:**:**;2023/08/14 17:32:13;TYCLDS30;0;20230814001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14b6e\1e57f\0.14b6f.err;なし;@M4287;****/**/**;2023/08/14 17:31:37;"7FFFA706";****/**/** **:**;****/**/** **:**
集信_05_共通POS_処理結果確認;/GFOOT/10_日次/01_HULFT/;net;異常検出終了;2025/09/27 18:24;***;2026/06/26 11:20:00;****/**/** **:**:**;2026/06/26 11:25:00;***;***;20260626012;***;なし;@2W9718;2026/06/26;2026/06/26 11:20:00;"毎時_00:20~24:20 受信ファイルが残っていないことを確認用";****/**/** **:**;****/**/** **:**
